PDB_ID	H_chain_ID	L_chain_ID	Ag_chain_ID(s)	Affinity_KD(nM)	Affinity_method	Affinity_temp(K)	Remark
5zxv	C	D	B	57.6	SPR	N.A.	N.A.
6a0z	H	L	A	53	SPR	N.A.	N.A.
6a3w	J	K	L	2.3	SPR	298	N.A.
6a4k	H	L	A	35.26	SPR	298	N.A.
6a67	H	L	A	1.004	SPR	310	N.A.
6a77	H	L	A	N.A.	N.A.	N.A.	B5209B Fab-ROBO1 Ig5 complex
6a78	H	L	A;B	239	ITC	N.A.	B5209B scFv(WT)-ROBO1Ig5 complex
6a79	H	L	A;B	8.2	ITC	N.A.	B5209B scFv(P103HA)-ROBO1Ig5
6a96	L	N.A.	B;C	N.A.	N.A.	N.A.	N.A.
6ad7	C	D	A	N.A.	N.A.	N.A.	N.A.
6ad8	C	D	A	N.A.	N.A.	N.A.	N.A.
6ada	C	D	A	N.A.	N.A.	N.A.	N.A.
6adb	C	D	A	N.A.	N.A.	N.A.	N.A.
6adc	C	D	A	N.A.	N.A.	N.A.	N.A.
6aj9	D	E	A	N.A.	N.A.	N.A.	N.A.
6aj9	H	L	C	N.A.	N.A.	N.A.	N.A.
6al0	H	L	A	N.A.	N.A.	N.A.	N.A.
6al1	H	L	A	N.A.	N.A.	N.A.	N.A.
6dbf	B	N.A.	A	N.A.	N.A.	N.A.	N.A.
6dbg	C	N.A.	B	N.A.	N.A.	N.A.	N.A.
6dc3	H	L	F	34	SPR	N.A.	N.A.
6dc5	B	C	A	0.12	SPR	N.A.	N.A.
6ddm	B	A	C	0.42	ITC	298	N.A.
6ddr	B	A	C	0.94	ITC	298	N.A.
6ddv	B	A	C	5.78	ITC	298	N.A.
6de7	D	E	B;G	N.A.	N.A.	N.A.	N.A.
6de7	H	L	G	N.A.	N.A.	N.A.	N.A.
6dfg	H	L	A	N.A.	N.A.	N.A.	N.A.
6dfh	H	L	A	N.A.	N.A.	N.A.	N.A.
6dfi	H	L	E	N.A.	N.A.	N.A.	N.A.
6dfj	H	L	E	N.A.	N.A.	N.A.	N.A.
6djp	C	D	A	N.A.	N.A.	N.A.	N.A.
6djp	E	F	B	N.A.	N.A.	N.A.	N.A.
6dkj	H	L	C	0.061	kinetic exclusion assay	N.A.	N.A.
6do1	C	N.A.	A	N.A.	N.A.	N.A.	N.A.
6dzv	B	C	A	N.A.	N.A.	N.A.	N.A.
6dzz	B	C	A	N.A.	N.A.	N.A.	N.A.
6e1k	F	E	A	N.A.	N.A.	N.A.	N.A.
6e4x	Z	Y	B	N.A.	N.A.	N.A.	N.A.
6e56	H	J	A	N.A.	N.A.	N.A.	N.A.
